n_nodes,n_edges,avg_degree,avg_clustering,n_sources,n_infected_nodes,n_iterations,percentage_infected,beta,threshold_infected,graph_type,neighbours,prob_reconnect
5014,25045,4.9950139609094535,0.011880053065559462,207,4432,4,0.041452849583077,0.310710292302313,0.52049229386368,barabasi_albert,5,0.3594258300367194
2530,7581,2.9964426877470354,0.014854805005388654,72,2072,5,0.028485756747539275,0.35036262951746844,0.44391666238996375,barabasi_albert,3,0.42392200685013237
3110,24880,8.0,0.21190208925491627,62,2675,7,0.020246547787488134,0.09409637294405451,0.610842846523358,watts_strogatz,16,0.3309947115326733
539,538,0.9981447124304267,0.0,17,201,6,0.03290035006162233,0.3733087459108016,0.2125266589217591,barabasi_albert,1,0.49687215284168446
2091,6273,3.0,0.10144183092533134,98,1954,7,0.046940582084999814,0.25298685457222925,0.7085226972840684,watts_strogatz,7,0.46055800913243783
3367,20166,5.9893079893079895,0.021551216690589514,110,2576,7,0.03280509809678001,0.07820925161793059,0.48171482494742346,barabasi_albert,6,0.10973587301300358
1785,12446,6.972549019607843,0.03021933019681504,60,1773,4,0.03368137148039677,0.3768744690601248,0.7491166367678115,barabasi_albert,7,0.4026245829806628
539,1074,1.992578849721707,0.05440072961128057,16,512,6,0.03111059263534858,0.472818480491026,0.6049090231214631,barabasi_albert,2,0.22999136685490368
456,912,2.0,0.15059523809523812,6,250,8,0.014277132970131215,0.35732245310760224,0.3353464191503352,watts_strogatz,4,0.33381906441323433
1256,2508,1.9968152866242037,0.016671817435140047,31,670,8,0.025067956904896105,0.1854693460523935,0.37081576589156195,barabasi_albert,2,0.11068633561861935
1184,1184,1.0,0.0,44,535,15,0.03772301807819363,0.434469805231061,0.4141789431088583,watts_strogatz,3,0.3087287428361103
5746,17229,2.998433693003829,0.010606778549181834,263,3843,4,0.04583018987054637,0.3116104853417462,0.23787887746566427,barabasi_albert,3,0.40367882145127404
3152,22064,7.0,0.2443590416608931,113,2878,7,0.03607543063117425,0.10170867621167413,0.6801317235137239,watts_strogatz,15,0.30141971981432114
840,1680,2.0,0.07564720332577488,25,264,8,0.030036811874482025,0.1651873163870272,0.20608758569334368,watts_strogatz,5,0.491438161143864
1160,4624,3.986206896551724,0.03773666957333242,53,1128,5,0.04649466169790415,0.3573999365801139,0.7948914036358596,barabasi_albert,4,0.03513051897080943
487,487,1.0,0.004791238877481178,11,291,14,0.024614778424675417,0.47930668180424435,0.5261384464252039,watts_strogatz,2,0.36871945583281396
362,362,1.0,0.0,10,146,25,0.02910535853565161,0.22842283121521356,0.35707135504665166,watts_strogatz,2,0.41867524962477176
114,113,0.9912280701754386,0.0,5,100,9,0.04747321538003449,0.4531221646712102,0.7722591387188713,barabasi_albert,1,0.25093753935749064
1851,1851,1.0,0.0,32,390,100,0.01766748830519862,0.051067688813404025,0.2272955339233445,watts_strogatz,3,0.11739883365436793
4057,8110,1.9990140497904856,0.00798962074856821,57,3441,6,0.014107627413654336,0.4475998050093785,0.39477202971924696,barabasi_albert,2,0.4837072467831018
1268,1268,1.0,0.0,48,339,24,0.038506658726321134,0.14240376266030486,0.25513765011632655,watts_strogatz,2,0.14279841946088667
1805,10830,6.0,0.5252477285718276,57,1522,5,0.032080100361272026,0.282742043625943,0.3795662422117849,watts_strogatz,13,0.08930592479798838
1123,1123,1.0,0.0,17,368,100,0.015622629669099691,0.09851255591853524,0.5127693250794296,watts_strogatz,2,0.09535978672157264
579,578,0.998272884283247,0.0,11,304,7,0.019280733277538892,0.4571056668660978,0.3078276777736811,barabasi_albert,1,0.10958144324805613
1362,5432,3.988252569750367,0.02885299152391835,62,1002,7,0.04565090973369753,0.09867617991517544,0.5199643621902605,barabasi_albert,4,0.042296687800714494
2511,22599,9.0,0.4462278083670715,33,2304,5,0.013493940991315144,0.24984497561414284,0.3645718076110371,watts_strogatz,18,0.14494671866190834
729,2178,2.9876543209876543,0.03616712745942237,28,459,4,0.039046658155773024,0.34472358288782556,0.22561336494528894,barabasi_albert,3,0.366239026586269
266,265,0.9962406015037594,0.0,4,202,51,0.016774231323680062,0.12824366983789479,0.7222852048768718,barabasi_albert,1,0.30278091125811857
1506,6008,3.98937583001328,0.026453149159526044,46,1304,4,0.03113235600375007,0.38241875960187416,0.3004939279179398,barabasi_albert,4,0.4930448745534935
946,1888,1.9957716701902748,0.018418014910483043,34,565,4,0.036892808929035,0.4589873173991725,0.23325203452321863,barabasi_albert,2,0.27032891504932777
