,diameter,average_shortest_path_length,average_clustering_coefficient,average_degree,n_nodes,n_edges,avg_degree_centrality
232,5,3.3718974952041885,0.3813609608281133,14.0,974,6818,0.01438848920863309
233,5,3.188843470967331,0.3736153022914144,16.0,971,7768,0.016494845360824743
234,4,2.7498969024926687,0.04547170252485115,13.904296875,1024,7119,0.013591688049853369
235,5,3.2841793616748243,0.40681047500814305,16.0,1045,8360,0.015325670498084294
236,4,2.6838249725798073,0.04979700008111921,15.874509803921569,1020,8096,0.015578517962631567
237,4,2.6815501050446757,0.05078282569478174,15.873767258382642,1014,8048,0.015670056523576153
238,5,3.290454505391192,0.41875601817196323,16.0,1011,8088,0.01584158415841585
239,5,3.457723579085818,0.4296809543550186,14.0,938,6566,0.014941302027748134
240,5,3.2141892281937308,0.38202496435149896,16.0,1020,8160,0.015701668302257114
241,4,2.682841338729175,0.05163521898689899,15.874386653581944,1019,8088,0.015593700052634522
242,5,3.45146569742898,0.4139048429373034,14.0,986,6902,0.014213197969543147
243,4,2.6906175538922996,0.04996362747557138,15.87632850241546,1035,8216,0.015354282884347639
244,5,3.419813557322005,0.40597633116213805,14.0,966,6762,0.014507772020725387
245,4,2.7095838048657286,0.05323163743095922,13.892070484581497,908,6307,0.015316505495679712
246,4,2.7356822415778543,0.050456166103669764,13.896733403582719,949,6594,0.014659001480572486
247,5,3.3182597108146132,0.3685702790727144,14.0,914,6398,0.01533406352683461
248,5,3.2263490334490976,0.37211863470149004,16.0,1064,8512,0.015051740357478832
249,6,3.6010590945826952,0.3928298597795599,12.0,911,5466,0.013186813186813187
250,4,2.6495302177743385,0.05857657947939191,15.866248693834901,957,7592,0.016596494449618096
251,5,3.3132106194977746,0.4343211458288162,16.0,993,7944,0.016129032258064516
252,5,3.232813818626654,0.386994644831846,16.0,1017,8136,0.015748031496062992
253,5,3.2105040059962597,0.3650697265051352,16.0,1049,8392,0.015267175572519083
254,4,2.7492302442203247,0.047549495567130694,13.903827281648676,1019,7084,0.01365798357725803
255,5,3.459499718109255,0.4144651034433088,14.0,1006,7042,0.013930348258706465
256,4,2.6962581720727137,0.05938577378876525,13.892189218921892,909,6314,0.015299767862248782
257,4,2.6882170234047145,0.050895200726453635,15.882998171846435,1094,8688,0.014531562828770755
258,4,2.6809882313784086,0.05268660954504615,15.87832699619772,1052,8352,0.015107827779445974
259,4,2.719115296473896,0.05278661178235368,13.892543859649123,912,6335,0.015249773720800355
260,4,2.6929069503338083,0.04776021095423355,15.879017013232515,1058,8400,0.01502272186682357
261,4,2.7341586476862036,0.052922405613664465,13.897058823529411,952,6615,0.014613100760809057
